abbr     time          wkwtp1d0  wkwtg1d0  wkwtp2d0  wkwtg2d0  wkwtp3d0  wkwtg3d0  wkwtg0d0  wkmowkd0  wkcap1d0  wkcap2d0  wkcap3d0
     RHW 19580613             6         6         6         6         6         6         6        11         4         9         9
     RHW 19580614             6         5        14         5        22         5         5        10         4         3         9
     RHW 19580615             6         4        14        12        22        12         4        11         5         5         8
     RHW 19580616             8         3         8        11        24        11         1        11         3         5         2
     RHW 19580617             2        10         2        18         2        26         1        11         3         4        17
     RHW 19580618             3         1         3         9         3         9         2        11         3         2         2
     RHW 19580619             1         1         1         9         1         9         1        10         3         2         1
     RHW 19580620             1         1         9         9         9         9         1         1         7        11        21
     RHW 19580621             1         1         1         9        17        17         1         1         7        14        15
     RHW 19580622             1         2         9         2         9        18         2         2         7         8         6
     RHW 19580623             1         2         1         2        17         2         1         1         6         8         6
     RHW 19580624             2         2         2         2        18         2         2         2         2         7         6
     RHW 19580625             3         1        11         9        11        17         1         1         1         1         1
     RHW 19580626             2         2        10         2        10        18         2         2         7        14        19
     RHW 19580627             3         2         3         2         3         2         2         9         9        18        25
     RHW 19580628             4         4         4         4        20         4         4        11         6         8        15
     RHW 19580629             3         3        11        11        11        19         3        11         6         8         6
     RHW 19580630             3         2        11        10        19        10         2         9         6         8         6
     RHW 19580701             1         2         1         2         1         2         8         9         7         8         6
     RHW 19580702             1         2         1         2         1         2         2         2         7         8         6
     RHW 19580703             1         2         1         2         1         2         2         2         6         8         6
     RHW 19580704             3         2        11         2        19         2         2        11         6         8         6
     RHW 19580705             4         1        12         1        20         1         1        11         6         8        10
     RHW 19580706             4         1        12         1        12         1         1        10         1         1         3
     RHW 19580707             4         1         4         1         4        17         2        11         4         2         5
     RHW 19580708             5         3         5         3        21        19         6        10         4         3        11
     RHW 19580709             6         6        14        14        22        22         7         7         4         2         2
     RHW 19580710             5         6         5         6         5        22         6        11         1         1         3
     RHW 19580711             7         8         7        16         7        24         2        11         2         7         4
     RHW 19580712             1         2         9        10         9        10         1         1         2         4         4
     RHW 19580713             1         1         9         9         9         9         2        10         2         4        20
     RHW 19580714             5         1        13         9        21         9         2         2         1         2         1
     RHW 19580715             8         1         8         9         8         9         2         2         1         6         1
     RHW 19580716             1         2         1        10         1        10         8         8         2         1         4
     RHW 19580717             5         1        13         1        13        17         3        11         4         9         5
     RHW 19580718             6         3        14        11        14        11         1        10         4         3         9
     RHW 19580719             7         1        15         9        23         9         1        10         3         2         2
     RHW 19580720             3         1         3         9         3        17         2        11         2         1         4
     RHW 19580721             3         1        11         9        11         9         1         1         6         8         6
     RHW 19580722             1         2         1        10         1        18         2         2         7        16        15
     RHW 19580723             3         1        11         1        19         1         1         1         7         8        15
     RHW 19580724             4         1         4         1        20         1         1         1         6         1        10
     RHW 19580725             5         3        13        11        13        19         3         3         4         2         2
     RHW 19580726             2         1        10         9        10         9         2        10         3         4         1
     RHW 19580727             1         1         9         9         9         9         1         1         1         1         1
     RHW 19580728             1         1         9         9         9         9         1         1         2         1         4
     RHW 19580729             3         1        11         9        11         9         1         1         2         1         4
     RHW 19580730             5         1        13         9        13         9         1         1         1         2         1
     RHW 19580731             5         1        13         9        13         9         1         1         4         2         2
     RHW 19580801             2         1        10         9        10         9         2         2         3         4         1
     RHW 19580802             5         2        13        10        21        10         2         2         4         2         5
     RHW 19580803             5         1         5         9        21         9         1         1         4         3         9
     RHW 19580804             6         1        14         1        14        17         3        10         4         3         9
     RHW 19580805             6         1        14         9        14         9         1        10         4         5         2
     RHW 19580806             3         1         3         9         3        17         1         1         2         1         4
     RHW 19580807             4         2         4         2        20        18         2         2         6         8        10
